#    T [K]            N         DOS(Ef)           S             s/t               R_H        kappa0         c                 chi         Ef
  120.0000     -0.00006458  0.15307213E+00 -0.31296659E-03  0.10081293E+18 -0.55788813E-05  0.14139636E+13  0.45958307E-02  0.22852357E-11  0.40619475E+00
  130.0000     -0.00006458  0.14304380E+00 -0.32387291E-03  0.10000278E+18 -0.55434111E-05  0.16111146E+13  0.50159701E-02  0.21355213E-11  0.40601526E+00
  140.0000     -0.00006458  0.13419142E+00 -0.33416346E-03  0.99210486E+17 -0.55052299E-05  0.18170894E+13  0.54305703E-02  0.20033630E-11  0.40582779E+00
  150.0000     -0.00006458  0.12632846E+00 -0.34392591E-03  0.98439545E+17 -0.54644082E-05  0.20316187E+13  0.58394186E-02  0.18859756E-11  0.40563277E+00
  160.0000     -0.00006458  0.11930397E+00 -0.35322932E-03  0.97692544E+17 -0.54210717E-05  0.22544911E+13  0.62424803E-02  0.17811060E-11  0.40543057E+00
  170.0000     -0.00006458  0.11299523E+00 -0.36212771E-03  0.96971474E+17 -0.53753739E-05  0.24855608E+13  0.66399201E-02  0.16869220E-11  0.40522156E+00
  180.0000     -0.00006458  0.10730206E+00 -0.37066147E-03  0.96278108E+17 -0.53274625E-05  0.27247750E+13  0.70321971E-02  0.16019278E-11  0.40500603E+00
  190.0000     -0.00006458  0.10214270E+00 -0.37885625E-03  0.95614589E+17 -0.52774265E-05  0.29722322E+13  0.74202470E-02  0.15249030E-11  0.40478428E+00
  200.0000     -0.00006458  0.97451054E-01 -0.38671895E-03  0.94984323E+17 -0.52252134E-05  0.32282839E+13  0.78057675E-02  0.14548607E-11  0.40455659E+00
  210.0000     -0.00006458  0.93175012E-01 -0.39422975E-03  0.94393350E+17 -0.51705034E-05  0.34936917E+13  0.81916151E-02  0.13910231E-11  0.40432325E+00
  220.0000     -0.00006458  0.89275937E-01 -0.40132958E-03  0.93852412E+17 -0.51125225E-05  0.37698565E+13  0.85823176E-02  0.13328132E-11  0.40408457E+00
  230.0000     -0.00006458  0.85729119E-01 -0.40790237E-03  0.93379871E+17 -0.50497863E-05  0.40591300E+13  0.89846865E-02  0.12798623E-11  0.40384094E+00
  240.0000     -0.00006458  0.82525141E-01 -0.41375238E-03  0.93005629E+17 -0.49797764E-05  0.43652155E+13  0.94085047E-02  0.12320296E-11  0.40359289E+00
  250.0000     -0.00006458  0.79671980E-01 -0.41857821E-03  0.92776091E+17 -0.48985782E-05  0.46936533E+13  0.98672352E-02  0.11894344E-11  0.40334112E+00
  260.0000     -0.00006458  0.77197549E-01 -0.42194850E-03  0.92760036E+17 -0.48005622E-05  0.50523723E+13  0.10378668E-01  0.11524933E-11  0.40308665E+00
  270.0000     -0.00006458  0.75152133E-01 -0.42328881E-03  0.93054901E+17 -0.46782778E-05  0.54522539E+13  0.10965367E-01  0.11219569E-11  0.40283087E+00
  280.0000     -0.00006458  0.73609862E-01 -0.42189578E-03  0.93792463E+17 -0.45228337E-05  0.59076141E+13  0.11654728E-01  0.10989322E-11  0.40257569E+00
  290.0000     -0.00006458  0.72668016E-01 -0.41699908E-03  0.95142265E+17 -0.43250991E-05  0.64364578E+13  0.12478401E-01  0.10848712E-11  0.40232356E+00
  300.0000     -0.00006458  0.72442826E-01 -0.40788744E-03  0.97310639E+17 -0.40779310E-05  0.70603214E+13  0.13470847E-01  0.10815093E-11  0.40207747E+00
  310.0000     -0.00006458  0.73060860E-01 -0.39409231E-03  0.10053334E+18 -0.37791366E-05  0.78035520E+13  0.14666982E-01  0.10907360E-11  0.40184084E+00
  320.0000     -0.00006458  0.74646455E-01 -0.37558100E-03  0.10506125E+18 -0.34340981E-05  0.86920017E+13  0.16099142E-01  0.11144076E-11  0.40161717E+00
  330.0000     -0.00006458  0.77307548E-01 -0.35287346E-03  0.11114138E+18 -0.30564687E-05  0.97513551E+13  0.17794063E-01  0.11541354E-11  0.40140965E+00
  340.0000     -0.00006458  0.81123813E-01 -0.32700509E-03  0.11899800E+18 -0.26659205E-05  0.11005519E+14  0.19770724E-01  0.12111090E-11  0.40122079E+00
  350.0000     -0.00006458  0.86140608E-01 -0.29932915E-03  0.12881928E+18 -0.22836002E-05  0.12475527E+14  0.22039696E-01  0.12860055E-11  0.40105206E+00
  360.0000     -0.00006458  0.92369943E-01 -0.27124098E-03  0.14075269E+18 -0.19274070E-05  0.14179205E+14  0.24604039E-01  0.13790041E-11  0.40090389E+00
  370.0000     -0.00006458  0.99796879E-01 -0.24393839E-03  0.15490858E+18 -0.16091108E-05  0.16131506E+14  0.27461193E-01  0.14898819E-11  0.40077574E+00
  380.0000     -0.00006458  0.10838826E+00 -0.21829077E-03  0.17136845E+18 -0.13339219E-05  0.18345226E+14  0.30605132E-01  0.16181439E-11  0.40066636E+00
  390.0000     -0.00006458  0.11810102E+00 -0.19482031E-03  0.19019451E+18 -0.11017953E-05  0.20831797E+14  0.34028204E-01  0.17631470E-11  0.40057408E+00
  400.0000     -0.00006458  0.12888850E+00 -0.17375592E-03  0.21143785E+18 -0.90934403E-06  0.23601951E+14  0.37722421E-01  0.19241949E-11  0.40049706E+00
